Rank,Title,Link
1,Mexican Computers: A Brief Technical and Historical Overview,https://arxiv.org/abs/2406.04912
2,Sending Emails to my three-year-old,https://blog.haschek.at/2024/leaving-a-digital-legacy.html
3,Show HN: Probabilistic Tic-Tac-Toe,https://www.csun.io/2024/06/08/probabilistic-tic-tac-toe.html
4,OpenAI Welcomes Sarah Friar (CFO) and Kevin Weil (CPO),https://openai.com/index/openai-welcomes-cfo-cpo/
5,Apple Debuts VisionOS 2,https://techcrunch.com/2024/06/10/apple-debuts-visionos-2/
6,The Mythical Non-Roboticist: Wouldn't it be great if everyone could do robotics?,https://spectrum.ieee.org/the-mythical-non-roboticist
7,"Gainax, known for 'Evangelion' anime production, goes bankrupt",https://www.japantimes.co.jp/business/2024/06/08/evangelion-anime-production-company-bankrupt/
8,Brainbase (YC W24) Is Hiring Head of Product,https://www.ycombinator.com/companies/brainbase/jobs/W62qIfA-founding-head-of-product
9,23words.com,https://23words.com/
10,WebKit fix: Quirk news.ycombinator to skip TextAutoSizing,https://github.com/WebKit/WebKit/commit/84ae355619354ee1bfa7daaa1fc95565a6726be3
